student_id,question_id,knowledgecomponent_id,answers
1297,27,"2,3",1
1297,26,"6,7",0
1297,25,"5,6,7",1
1297,24,"5,7",0
1297,23,6,1
1297,22,"4,7",0
1297,21,"6,3",1
1297,20,"7,9,2",1
1297,19,"7,9,2",1
1297,18,"9,2",1
1297,17,"5,7",1
1297,16,"6,8",0
1297,15,"5,8",1
1297,14,"5,8",1
1297,13,2,1
1297,12,"6,7",0
1297,11,"5,6",1
1297,10,5,1
1297,9,"6,7",1
1297,8,7,1
1297,7,2,1
1297,6,4,1
1297,5,3,1
1297,4,2,1
1297,3,2,1
1297,2,1,1
1297,1,1,1
